rt_id;sn;stop_cd;pattn_detail_id;is_active;lmt_spd;dist;topology
VBRCSMC-N1;9;URRACCA;Corredor Sur;1;60;10841;PA 
VBRCSMC-N1;10;C39CT3A;Corredor Sur;1;60;11362;PA 
VBRCSMC-N1;11;HNICT3A;Corredor Sur;1;60;11709;PA 
VBRCSMC-N1;12;BOULECA;Corredor Sur;1;60;12228;PA 
VBRCSMC-N1;13;MERMACA;Corredor Sur;1;60;13018;PA 
VBRCSPC-N1;1;BALBO2A;Corredor Sur;1;60;0;PA 
VBRCSPC-N1;2;BALBO1A;Corredor Sur;1;60;714;PA 
VBRCSPC-N1;3;PBAVE4A;Corredor Sur;1;60;801;PC 
VBRCSPC-N1;4;BGEPV1A;Corredor Sur;1;60;1104;PA 
VBRCSPC-N1;5;GATCS1A;Corredor Sur;1;80;6825;PC 
VBRCSPC-N1;6;GMAVI4A;Corredor Sur;1;60;9325;PC 
VBRCSPC-N1;7;PAICT1A;Corredor Sur;1;60;9557;PA 
VBRCSPC-N1;8;AQGCT3A;Corredor Sur;1;40;10160;PA 
VBRCSPC-N1;9;URRACCA;Corredor Sur;1;60;10841;PA 
VBRCSPC-N1;10;C39CT3A;Corredor Sur;1;60;11362;PA 
VBRCSPC-N1;11;HNICT3A;Corredor Sur;1;60;11709;PA 
VBRCSPC-N1;12;BOULECA;Corredor Sur;1;60;12228;PA 
VBRCSPC-N1;13;PACHO ;Corredor Sur;1;40;17148;PC 
VBRCSPH-N1;1;BALBO2A;Corredor Sur;1;60;0;PA 
VBRCSPH-N1;2;BALBO1A;Corredor Sur;1;60;714;PA 
VBRCSPH-N1;3;PBAVE4A;Corredor Sur;1;60;801;PC 
VBRCSPH-N1;4;BGEPV1A;Corredor Sur;1;60;1104;PA 
VBRCSPH-N1;5;GATCS1A;Corredor Sur;1;80;6825;PC 
VBRCSPH-N1;6;GMAVI4A;Corredor Sur;1;60;9325;PC 
VBRCSPH-N1;7;PAICT1A;Corredor Sur;1;60;9557;PA 
VBRCSPH-N1;8;AQGCT3A;Corredor Sur;1;40;10160;PA 
VBRCSPH-N1;9;URRACCA;Corredor Sur;1;60;10841;PA 
VBRCSPH-N1;10;C39CT3A;Corredor Sur;1;60;11362;PA 
VBRCSPH-N1;11;HNICT3A;Corredor Sur;1;60;11709;PA 
VBRCSPH-N1;12;BOULECA;Corredor Sur;1;60;12228;PA 
VBRCSPH-N1;13;ABACE1A;Corredor Sur;1;60;14901;PA 
VBRCSPH-N1;14;PACUR ;Corredor Sur;1;40;16516;PC 
VBRCSVV-N1;1;BALBO2A;Corredor Sur;1;60;0;PA 
VBRCSVV-N1;2;BALBO1A;Corredor Sur;1;60;714;PA 
VBRCSVV-N1;3;PBAVE4A;Corredor Sur;1;60;801;PC 
VBRCSVV-N1;4;BGEPV1A;Corredor Sur;1;60;1104;PA 
VBRCSVV-N1;5;GATCS1A;Corredor Sur;1;80;6825;PC 
